name,category,url,careers_url,job_board,description,applied
Bluesky,,https://bsky.social,https://bsky.social/about/join,custom,"Social media as it should be. Find your community among millions of users, unleash your creativity, and have some fun again.",False
Protocol Labs,,https://protocol.ai,https://protocol.ai/join/,custom,Protocol Labs is building the next generation of the internet.,False
Akash Network,,https://akash.network,https://akash.network/careers,custom,Akash is an open network that lets users buy and sell computing resources securely and efficiently. Purpose-built for public utility.,False
Solana Labs,,https://solana.com,https://jobs.solana.com/,greenhouse,"Solana is the high performance network powering internet capital markets, payments, and crypto applications. Fast. Decentralized. Scalable. Energy efficient. Solana can power thousands of transactions per second.",False
Polygon,,https://polygon.technology,https://jobs.ashbyhq.com/polygon-labs/,greenhouse,"Polygon is the chosen blockchain infrastructure for enterprises and institutions to move assets instantly at scale with low fees, enterprise tooling, and proven reliability.",False
Starkware,,https://starkware.co,https://starkware.co/careers/,custom,"StarkWare is using STARK proofs to bringing scalability, security and privacy to a blockchain near you",False
Thirdweb,,https://thirdweb.com,https://wellfound.com/company/thirdweb-1/jobs,custom,"Build on internet capital markets with infrastructure for agents to discover, pay for, and interact with services and APIs.",False
Lens Protocol,,https://lens.xyz,,,The SocialFi chain.,False
ENS (Ethereum Name Service),,https://ens.domains,https://ensdao.org,custom,Welcome to the new internet.,False
Safe{Wallet},,https://safe.global,https://safe-labs.jobs.personio.com,custom,"Safe{Wallet} is the original multisig wallet for secure self-custody. Protect crypto assets with onchain approvals, auditability, and enterprise-grade controls.",False
Interop,,https://interop.com,https://enterpriseconnect.tradepub.com/c/pubRD.mpl?secure=1&sr=pp&_t=pp:&qf=w_defa5426&ch=ECwebsite,custom,"Enterprise Connect helps you optimize your investments in communications and collaboration systems, services, apps and networks.",False
Optimism,,https://optimism.io,https://optimism.io/careers,custom,"Optimism is the most used blockchain infrastructure. Launch scalable, customizable Layer 2s and apps with Ethereum-grade security - powered by the OP Stack.",False
Arbitrum,,https://arbitrum.io,,,,False
Aleo,,https://aleo.org,https://discord.gg/aleo,custom,"Aleo is the ultimate solution for fully private applications. Discover the ultimate toolkit to write, run, and host private applications today.",False
Status,,https://status.im,https://status.im/jobs,custom,"The open-source, decentralised wallet and messenger. Own your crypto and chat privately.",False
Zcash,,https://z.cash,https://z.cash/community-hub/?discuss=#tab-5663,custom,The first cryptocurrency to develop zero-knowledge encryption for private peer-to-peer payments. Use Zcash Learn Zcash Current price (USD) $ 0 Outstanding supply 0 M Shielded ZEC 0 M Payments 0 395.46…,False
Nostr Development,,https://nostr.com,https://nostr.com/careers,custom,"Nostr is an inclusive communication commons. A simple standard that defines a scalable
        architecture of clients and servers that can be used to spread information freely. Not
        controlled by any corporation or government, anyone can build on Nostr and anyone can use
        it.",False
Cosmos,,https://cosmos.network,https://job-boards.greenhouse.io/cosmoslabs/,greenhouse,"Cosmos is an ever-expanding ecosystem of interoperable and sovereign blockchain apps and services, built for a decentralized future.",False
Servo,,https://servo.org,,,"Servo is a web rendering engine written in Rust, with WebGL and WebGPU support, and adaptable to desktop, mobile, and embedded applications.",False
Ladybird,,https://ladybird.org,,,"Ladybird is a truly independent web browser, backed by a non-profit.",False
Igalia,,https://igalia.com,https://igalia.com/jobs,custom,"Igalia is an open source consulting firm specialised in the development of innovative projects and solutions. Our engineers have expertise in a wide range of technological areas, including browsers and client-side web technologies, graphics pipeline, compilers and virtual machines. We have the most WPE, WebKit, Chromium/Blink and Firefox expertise found in the consulting business, including many reviewers and committers. Igalia designs, develops, customises and optimises GNU/Linux-based solutions for companies across the globe. Our work and contributions are present in many projects such as GStreamer, Mesa 3D, WebKit, Chromium, etc.",False
Chromium/Google,,,,,,False
Firefox/Mozilla,,https://mozilla.org,https://mozilla.org/en-US/careers/,custom,Mozilla is the not-for-profit behind the lightning fast Firefox browser. We put people over profit to give everyone more power online.,False
Apple WebKit,,https://webkit.org,,,Open Source Web Browser Engine,False
Brave,,https://brave.com,https://brave.com/careers/,greenhouse,"The Brave browser is a fast, private and secure web browser for PC, Mac and mobile. Download now to enjoy a faster ad-free browsing experience that saves data and battery life by blocking tracking software.",False
Arc,,https://arc.net,https://thebrowser.company/careers/,custom,"Experience a calmer, more personal internet in this browser designed for you. Let go of the clicks, the clutter, the distractions.",False
Zed,,https://zed.dev,https://zed.dev/jobs,custom,"Zed is a high-performance, multiplayer code editor from the creators of Atom and Tree-sitter.",False
Figma,,https://figma.com,https://friends.figma.com/,custom,"Figma is the leading collaborative design platform for building meaningful products. Design, prototype, and build products faster—while gathering feedback all in one place.",False
Tauri,,https://tauri.app,,,The cross-platform app building toolkit,False
Dioxus,,https://dioxuslabs.com,,,"A fullstack crossplatform app framework for Rust. Supports Web, Desktop, SSR, Liveview, and Mobile.",False
Anthropic,,https://anthropic.com,https://www.anthropic.com/careers,custom,"Anthropic is an AI safety and research company that's working to build reliable, interpretable, and steerable AI systems.",False
OpenAI,,https://openai.com,,,,False
Meta AI,,https://ai.meta.com,https://ai.meta.com/join-us,custom,"Meta is building personal superintelligence for everyone. Explore Meta AI, our latest model Muse Spark, AI research, and tools like Vibes for AI video creation.",False
Google DeepMind,,,,,,False
Stability AI,,https://stability.ai,https://stability.ai/careers,greenhouse,"Stability AI is the enterprise-ready creative partner for teams and creators, delivering professional-grade generative AI tools and solutions for content production at scale.",False
HuggingFace,,https://huggingface.co,https://huggingface.co/join,custom,We’re on a journey to advance and democratize artificial intelligence through open source and open science.,False
Together AI,,https://together.ai,https://together.ai/careers,greenhouse,"Build what's next on the AI Native Cloud. Full-stack AI platform for inference, fine-tuning, and GPU clusters — powered by cutting-edge research.",False
