name,category,url,careers_url,job_board,description,applied
Bluesky,,https://bsky.social,https://bsky.social/about/join,custom,"Social media as it should be. Find your community among millions of users, unleash your creativity, and have some fun again.",False
Protocol Labs,,https://protocol.ai,https://protocol.ai/join/,custom,Protocol Labs is building the next generation of the internet.,False
Akash Network,,https://akash.network,https://akash.network/careers,custom,Akash is an open network that lets users buy and sell computing resources securely and efficiently. Purpose-built for public utility.,False
Solana Labs,,https://solana.com,https://jobs.solana.com/,greenhouse,"Solana is the high performance network powering internet capital markets, payments, and crypto applications. Fast. Decentralized. Scalable. Energy efficient. Solana can power thousands of transactions per second.",False
Polygon,,https://polygon.technology,https://jobs.ashbyhq.com/polygon-labs/,greenhouse,"Polygon is the chosen blockchain infrastructure for enterprises and institutions to move assets instantly at scale with low fees, enterprise tooling, and proven reliability.",False
Starkware,,https://starkware.co,https://starkware.co/careers/,custom,"StarkWare is using STARK proofs to bringing scalability, security and privacy to a blockchain near you",False
Thirdweb,,https://thirdweb.com,https://wellfound.com/company/thirdweb-1/jobs,custom,"Build on internet capital markets with infrastructure for agents to discover, pay for, and interact with services and APIs.",False
Lens Protocol,,https://lens.xyz,,,The SocialFi chain.,False
ENS (Ethereum Name Service),,https://ens.domains,https://ensdao.org,custom,Welcome to the new internet.,False
Safe{Wallet},,https://safe.global,https://safe-labs.jobs.personio.com,custom,"Safe{Wallet} is the original multisig wallet for secure self-custody. Protect crypto assets with onchain approvals, auditability, and enterprise-grade controls.",False
Interop,,https://interop.com,https://enterpriseconnect.tradepub.com/c/pubRD.mpl?secure=1&sr=pp&_t=pp:&qf=w_defa5426&ch=ECwebsite,custom,"Enterprise Connect helps you optimize your investments in communications and collaboration systems, services, apps and networks.",False
Optimism,,https://optimism.io,https://optimism.io/careers,custom,"Optimism is the most used blockchain infrastructure. Launch scalable, customizable Layer 2s and apps with Ethereum-grade security - powered by the OP Stack.",False
Arbitrum,,https://arbitrum.io,,,,False
Aleo,,https://aleo.org,https://discord.gg/aleo,custom,"Aleo is the ultimate solution for fully private applications. Discover the ultimate toolkit to write, run, and host private applications today.",False
Status,,https://status.im,https://status.im/jobs,custom,"The open-source, decentralised wallet and messenger. Own your crypto and chat privately.",False
Zcash,,https://z.cash,https://z.cash/community-hub/?discuss=#tab-5663,custom,The first cryptocurrency to develop zero-knowledge encryption for private peer-to-peer payments. Use Zcash Learn Zcash Current price (USD) $ 0 Outstanding supply 0 M Shielded ZEC 0 M Payments 0 395.46…,False
Chainlink,,https://chain.link,https://smartcon.chain.link/signin,custom,Chainlink is the industry-standard oracle platform powering the majority of decentralized finance and bringing the capital markets onchain.,False
Cosmos,,https://cosmos.network,https://job-boards.greenhouse.io/cosmoslabs/,greenhouse,"Cosmos is an ever-expanding ecosystem of interoperable and sovereign blockchain apps and services, built for a decentralized future.",False
Aptos,,https://aptos.dev,,,Aptos provides everything you need to build a best-in-class Web3 experience.,False
Sui,,https://sui.io,https://sui.io/community,custom,"Sui is a high-performance blockchain delivering the full stack for a new global economy. One modular, decentralized system. From first commit to global scale.",False
Near Protocol,,https://near.org,https://near.org/contact-us,greenhouse,Discover how Blockchain for AI is revolutionizing data security and transparency in AI systems. Learn more about this cutting-edge technology.,False
Avalanche,,https://avax.network,https://job-boards.greenhouse.io/avalanchefoundation,greenhouse,"Avalanche is a high-performance blockchain platform designed for builders who need to scale. Engineered with a revolutionary three-part Layer 1 (L1) architecture, Avalanche is anchored by its Avalanche Consensus Mechanism, ensuring near-instant finality for transactions. The platform also features an open-source Layer 0 (L0) framework, enabling the seamless creation of interoperable Layer 1 blockchains with high throughput on both public and private networks.",False
Fantom,,https://fantom.foundation,,,"Fantom is a next-gen Layer-1 platform for DeFi, dApps and businesses.",False
Hedera,,https://hedera.com,https://hedera.com/blog/mclaren-racing-joins-hedera-council-to-accelerate-digital-innovation,custom,"Hedera is the trusted platform for building fast, secure, and compliant decentralized applications.",False
Chainlink,,https://chain.link,https://smartcon.chain.link/signin,custom,Chainlink is the industry-standard oracle platform powering the majority of decentralized finance and bringing the capital markets onchain.,False
Uniswap Labs,,https://uniswap.org,https://uniswap.org/careers,custom,"Swap crypto on Ethereum, Base, Arbitrum, Polygon, Unichain and more. The DeFi platform trusted by millions.",False
Curve Finance,,https://curve.fi,https://curve.fi/careers,custom,Curve-frontend is a user interface application designed to connect to Curve's deployment of smart contracts.,False
Lido,,https://lido.fi,https://operatorportal.lido.fi/modules/curated-module,custom,Empowering and securing Ethereum since 2020,False
MakerDAO,,https://makerdao.com,,,"MakerDAO enables the generation of Dai, the world’s first unbiased currency and leading decentralized stablecoin.",False
Compound Labs,,https://compound.finance,https://compound.finance/careers,custom,"Compound is an algorithmic, autonomous interest rate protocol built for developers, to unlock a universe of open financial applications.",False
Aave,,https://aave.com,https://aave.com/careers,custom,Aave is an Open Source Protocol to create Non-Custodial Liquidity Markets to earn interest on supplying and borrowing assets with a variable interest rate. The protocol is designed for easy integration into your products and services.,False
dYdX,,https://dydx.trade,https://dydx.trade/careers,custom,"Experience the future of decentralized finance with dYdX Chain, the premier platform for secure, transparent, and efficient perpetual trading in the DeFi Space.",False
0x Protocol,,https://0x.org,https://0x.org/careers,custom,"Developers’ one-stop shop to enable faster crypto trading, better prices, and superior UX. Get started now at 0x.org.",False
Rainbow Wallet,,https://rainbow.me,https://rainbow.me/careers,custom,"Explore NFTs and DeFi on Ethereum, Polygon, Optimism, Arbitrum, BSC, Base, and Zora. Available for mobile and desktop.",False
